case_id,prefix,second_byte,instruction_bytes,manual_mnemonic,modrm_constraints,initial_registers,initial_flags,initial_memory,current_dispatch_path,current_handler_or_result,expected_ip_advance,expected_registers,expected_flags,memory_and_io_effects,interrupt_or_exception,architectural_prefix_status,evidence_source,confidence,ssts_metadata_form,ssts_empty_prefetch_records,ssts_populated_prefetch_records,hardware_probe_cases
none-0f-e9,none,0xe9,0fe9,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-ea,none,0xea,0fea,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-eb,none,0xeb,0feb,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-ec,none,0xec,0fec,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-ed,none,0xed,0fed,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-ee,none,0xee,0fee,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-ef,none,0xef,0fef,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f0,none,0xf0,0ff0,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f1,none,0xf1,0ff1,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f2,none,0xf2,0ff2,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f3,none,0xf3,0ff3,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f4,none,0xf4,0ff4,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f5,none,0xf5,0ff5,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f6,none,0xf6,0ff6,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f7,none,0xf7,0ff7,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f8,none,0xf8,0ff8,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-f9,none,0xf9,0ff9,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-fa,none,0xfa,0ffa,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-fb,none,0xfb,0ffb,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-fc,none,0xfc,0ffc,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-fd,none,0xfd,0ffd,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-fe,none,0xfe,0ffe,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-ff,none,0xff,0fff,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-00,f2,0x00,f20f00,undefined Group3 code,MSW_PE=0: ModR/M not consumed; MSW_PE=1: /0..7 -> SLDT/STR/LLDT/LTR/VERR/VERW/VERR/VERW,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 when MSW_PE=0; cts0_table when MSW_PE=1,3 before INT 6 when MSW_PE=0; 4 plus EA bytes when MSW_PE=1,conditional on cts0_table selector/system handler,legacy-handler-dependent,selector reads/writes possible only when MSW_PE=1,INT 6 when MSW_PE=0; selector exceptions possible when PE=1,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,r007
f2-0f-01,f2,0x01,f20f01,undefined Group3 code,/0..7 -> SGDT/SIDT/LGDT/LIDT/SMSW/SMSW/LMSW/LMSW,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,cts1_table,4 plus EA displacement bytes,SMSW/LMSW may read or change AX/MSW; other entries table-dependent,unchanged by LMSW; otherwise legacy-handler-dependent,descriptor-table memory read/write possible; no direct I/O,INT 6 for invalid register-only descriptor-table forms,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,r005;r008
f2-0f-02,f2,0x02,f20f02,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-03,f2,0x03,f20f03,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-04,f2,0x04,f20f04,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-05,f2,0x05,f20f05,undefined Group3 code,no ModR/M; fixed LOADALL286 image at physical 0804h..,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,_loadall286,"loaded from physical 081ah, not sequential",legacy LOADALL286 image replaces protected and general state,loaded from physical 0818h,reads legacy LOADALL286 image; no direct I/O,none explicitly; unsafe/unrecoverable probe omitted,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-06,f2,0x06,f20f06,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-07,f2,0x07,f20f07,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-08,f2,0x08,f20f08,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-09,f2,0x09,f20f09,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-0a,f2,0x0a,f20f0a,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-0b,f2,0x0b,f20f0b,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-0c,f2,0x0c,f20f0c,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-0d,f2,0x0d,f20f0d,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-0e,f2,0x0e,f20f0e,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-0f,f2,0x0f,f20f0f,undefined Group3 code,no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
f2-0f-10,f2,0x10,f20f10,"TEST1 r/m8,CL",no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,0F10,0,0,r002
f2-0f-11,f2,0x11,f20f11,"TEST1 r/m16,CL",no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,0F11,0,0,
f2-0f-12,f2,0x12,f20f12,"CLR1 r/m8,CL",no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,0F12,0,0,
f2-0f-13,f2,0x13,f20f13,"CLR1 r/m16,CL",no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,0F13,0,0,
f2-0f-14,f2,0x14,f20f14,"SET1 r/m8,CL",no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,0F14,0,0,
f2-0f-15,f2,0x15,f20f15,"SET1 r/m16,CL",no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,0F15,0,0,
f2-0f-16,f2,0x16,f20f16,"NOT1 r/m8,CL",no following operand consumed before current INT 6,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0xf2] -> v30_repne -> v30op_repne[0x0f] -> i286c_cts,INT 6 from i286c_cts,3 before INT 6 restart address handling,unchanged before exception entry,exception-entry effects only,interrupt stack/vector effects only,INT 6,"unresolved: candidate outcomes A, B, C, or D",M42 graph/provenance; i286c/v30patch.c; i286c/i286c_0f.c; NEC manuals do not define uPD9002 REP+0F,high for current VAEG path; unresolved for uPD9002/V52,0F16,0,0,
